DOB,Height,Name,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
9/21/1993,185,Ante Rebić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/21/1993,185,Ante Rebić,11/15/2013,Fri,WCQ,Second round,Away,D 0–0,hr Croatia,is Iceland,N,,19,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
9/21/1993,185,Ante Rebić,11/19/2013,Tue,WCQ,Second round,Home,W 2–0,hr Croatia,is Iceland,N,,17,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
9/21/1993,185,Ante Rebić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/21/1993,185,Ante Rebić,5/31/2014,Sat,Friendlies (M),Friendlies (M),Home,W 2–1,hr Croatia,ml Mali,N,,24,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
9/21/1993,185,Ante Rebić,6/6/2014,Fri,Friendlies (M),Friendlies (M),Home,W 1–0,hr Croatia,au Australia,N,,24,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
9/21/1993,185,Ante Rebić,6/12/2014,Thu,World Cup,Group stage,Neutral,L 1–3,hr Croatia,br Brazil,N,,13,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
9/21/1993,185,Ante Rebić,6/18/2014,Wed,World Cup,Group stage,Neutral,W 4–0,hr Croatia,cm Cameroon,N,,13,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
9/21/1993,185,Ante Rebić,6/23/2014,Mon,World Cup,Group stage,Neutral,L 1–3,hr Croatia,mx Mexico,N,,20,0,0,0,0,,,0,1,,,,,,,,,,,,,,,,,,Match Report
9/21/1993,185,Ante Rebić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/21/1993,185,Ante Rebić,6/7/2015,Sun,Friendlies (M),Friendlies (M),Home,W 4–0,hr Croatia,gi Gibraltar,N,,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
9/21/1993,185,Ante Rebić,6/12/2015,Fri,UEFA Euro Qualifying,Group stage,Home,D 1–1,hr Croatia,it Italy,N,,45,0,0,0,0,1,0,1,0,,,1,,,,,,,,,,,,,,,Match Report
9/21/1993,185,Ante Rebić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/21/1993,185,Ante Rebić,11/9/2017,Thu,WCQ,Second round,Home,W 4–1,hr Croatia,gr Greece,N,,15,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
9/21/1993,185,Ante Rebić,11/12/2017,Sun,WCQ,Second round,Away,D 0–0,hr Croatia,gr Greece,N,,5,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
9/21/1993,185,Ante Rebić,3/23/2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–2,hr Croatia,pe Peru,N,,14,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
9/21/1993,185,Ante Rebić,3/27/2018,Tue,Friendlies (M),Friendlies (M),Away,W 1–0,hr Croatia,mx Mexico,Y,AM,71,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
9/21/1993,185,Ante Rebić,6/3/2018,Sun,Friendlies (M),Friendlies (M),Away,L 0–2,hr Croatia,br Brazil,Y,AM,63,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
9/21/1993,185,Ante Rebić,6/8/2018,Fri,Friendlies (M),Friendlies (M),Home,W 2–1,hr Croatia,sn Senegal,Y,AM,60,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
9/21/1993,185,Ante Rebić,6/16/2018,Sat,World Cup,Group stage,Neutral,W 2–0,hr Croatia,ng Nigeria,Y,LW,77,0,0,0,0,1,0,0,0,47,1,2,0,0,0,0.1,3,0,25,36,69.4,3,19,4,4,2,Match Report
9/21/1993,185,Ante Rebić,6/21/2018,Thu,World Cup,Group stage,Neutral,W 3–0,hr Croatia,ar Argentina,Y,RM,56,1,0,0,0,2,1,1,0,19,0,1,0,0.4,0.4,0,1,0,4,9,44.4,1,19,2,4,3,Match Report
9/21/1993,185,Ante Rebić,,,,,,,,,,,,Performance,,,,,,,,,,,,Expected,,,SCA,,Passes,,,,Carries,,Take-Ons,,
9/21/1993,185,Ante Rebić,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
9/21/1993,185,Ante Rebić,7/1/2018,Sun,World Cup,Round of 16,Neutral,D 1 (3)–1 (2),hr Croatia,dk Denmark,Y,"RM,FW",120,0,0,0,0,3,1,0,0,43,3,1,3,0.1,0.1,0,7,1,14,25,56,4,28,5,3,3,Match Report
9/21/1993,185,Ante Rebić,7/7/2018,Sat,World Cup,Quarter-finals,Neutral,D 2 (4)–2 (3),hr Croatia,ru Russia,Y,"RW,FW,LW",120,0,0,0,0,3,0,0,0,38,0,0,2,0.1,0.1,0,4,0,11,24,45.8,1,26,1,6,5,Match Report
9/21/1993,185,Ante Rebić,7/11/2018,Wed,World Cup,Semi-finals,Neutral,W 2–1,hr Croatia,eng England,Y,"RM,LM",100,0,0,0,0,3,2,1,0,41,4,2,1,0.2,0.2,0,3,0,12,28,42.9,1,26,3,4,3,Match Report
9/21/1993,185,Ante Rebić,7/15/2018,Sun,World Cup,Final,Neutral,L 2–4,hr Croatia,fr France,Y,RM,70,0,0,0,0,3,2,0,0,30,1,1,0,0.1,0.1,0,0,0,8,15,53.3,4,22,3,5,3,Match Report
9/21/1993,185,Ante Rebić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/21/1993,185,Ante Rebić,10/12/2018,Fri,UEFA Nations League,League A,Home,D 0–0,hr Croatia,eng England,Y,FW,79,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
9/21/1993,185,Ante Rebić,10/15/2018,Mon,Friendlies (M),Friendlies (M),Home,W 2–1,hr Croatia,jo Jordan,Y,FW,63,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
9/21/1993,185,Ante Rebić,11/15/2018,Thu,UEFA Nations League,League A,Home,W 3–2,hr Croatia,es Spain,Y,AM,72,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,Match Report
9/21/1993,185,Ante Rebić,11/18/2018,Sun,UEFA Nations League,League A,Away,L 1–2,hr Croatia,eng England,Y,AM,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
9/21/1993,185,Ante Rebić,3/21/2019,Thu,UEFA Euro Qualifying,Group stage,Home,W 2–1,hr Croatia,az Azerbaijan,N,,22,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
9/21/1993,185,Ante Rebić,3/24/2019,Sun,UEFA Euro Qualifying,Group stage,Away,L 1–2,hr Croatia,hu Hungary,Y,AM,66,1,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
9/21/1993,185,Ante Rebić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/21/1993,185,Ante Rebić,9/6/2019,Fri,UEFA Euro Qualifying,Group stage,Away,W 4–0,hr Croatia,sk Slovakia,Y,AM,69,0,0,0,0,1,0,0,0,,,2,,,,,,,,,,,,,,,Match Report
9/21/1993,185,Ante Rebić,9/9/2019,Mon,UEFA Euro Qualifying,Group stage,Away,D 1–1,hr Croatia,az Azerbaijan,Y,AM,85,0,0,0,0,3,2,0,0,,,0,,,,,,,,,,,,,,,Match Report
9/21/1993,185,Ante Rebić,10/10/2019,Thu,UEFA Euro Qualifying,Group stage,Home,W 3–0,hr Croatia,hu Hungary,Y,FW,90,0,1,0,0,2,0,0,0,,,1,,,,,,,,,,,,,,,Match Report
9/21/1993,185,Ante Rebić,10/13/2019,Sun,UEFA Euro Qualifying,Group stage,Away,D 1–1,hr Croatia,wls Wales,N,,27,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
9/21/1993,185,Ante Rebić,11/16/2019,Sat,UEFA Euro Qualifying,Group stage,Home,W 3–1,hr Croatia,sk Slovakia,Y,AM,53,0,0,0,0,0,0,1,0,,,0,,,,,,,,,,,,,,,Match Report
9/21/1993,185,Ante Rebić,11/19/2019,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,hr Croatia,ge Georgia,Y,,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
9/21/1993,185,Ante Rebić,9/5/2020,Sat,UEFA Nations League,League A,Away,L 1–4,hr Croatia,pt Portugal,Y,AM,90,0,1,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
9/21/1993,185,Ante Rebić,9/8/2020,Tue,UEFA Nations League,League A,Away,L 2–4,hr Croatia,fr France,Y,FW,45,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,Match Report
9/21/1993,185,Ante Rebić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/21/1993,185,Ante Rebić,6/1/2021,Tue,Friendlies (M),Friendlies (M),Home,D 1–1,hr Croatia,am Armenia,N,,45,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,Match Report
9/21/1993,185,Ante Rebić,6/6/2021,Sun,Friendlies (M),Friendlies (M),Away,L 0–1,hr Croatia,be Belgium,Y,FW,61,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
9/21/1993,185,Ante Rebić,6/13/2021,Sun,UEFA Euro,Group stage,Neutral,L 0–1,hr Croatia,eng England,Y,FW,77,0,0,0,0,3,1,0,0,21,1,0,0,0.2,0.2,0,0,0,6,13,46.2,2,7,0,0,0,Match Report
9/21/1993,185,Ante Rebić,6/18/2021,Fri,UEFA Euro,Group stage,Neutral,D 1–1,hr Croatia,cz Czechia,Y,FW,45,0,0,0,0,1,0,0,0,9,0,0,1,0.4,0.4,0,1,0,2,5,40,0,4,1,0,0,Match Report
9/21/1993,185,Ante Rebić,6/22/2021,Tue,UEFA Euro,Group stage,Neutral,W 3–1,hr Croatia,sct Scotland,N,RM,10,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,3,7,42.9,0,6,1,1,0,Match Report
9/21/1993,185,Ante Rebić,6/28/2021,Mon,UEFA Euro,Round of 16,Neutral,L 3–5,hr Croatia,es Spain,Y,LW,66,0,0,0,0,1,1,0,0,30,3,1,2,0,0,0,0,0,10,17,58.8,0,19,1,3,0,Match Report
